Dur,Mean,Min,Max,sTos_code,dTos_code,sTtl,dTtl,sHops,dHops,dMeanPktSz,SrcTCPBase,DstTCPBase,AckDat,Label,dTos_was_missing,dTtl_was_missing,dHops_was_missing,DstTCPBase_was_missing,SrcTCPBase_was_missing,SrcLoss_ratio,Load_log,SrcLoad_log,Rate_log,SynAck_log,TcpRtt_log,SrcBytes_log,Loss_log,SrcPkts_log,sMeanPktSz_log,TotBytes_log,pLoss_log,Offset_log,TotPkts_log,SrcWin_log,DstWin_log,Proto_lldp,Proto_sctp,Proto_tcp,Proto_udp,State_CON,State_ECO,State_FIN,State_INT,State_REQ,State_RST,State_URP,Cause_Start,Cause_Status,dDSb_af12,dDSb_cs0,dDSb_ef,dDSb_unknown,sDSb_is_cs0,slice_2:mMTC,slice_3:URLLC
0.000289,0.000289,0.000289,0.000289,224.0,0,250.0,0,6.0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.6321643815409688,-27663.35414578515,-3304.588571556209,4.174387269895637,0,-0.3307940477243938,3.491000410702658,0.28319892839872923,0,0,0.08717388128341806,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,249.0,0,7.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,4.31748811353631,0,-0.3307940477243938,3.658080787840028,0.2826597982337767,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
2.560251,2.560251,2.560251,2.560251,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,4.884596803248155,4.884596803248155,-1.1324730302165018,-27663.35414578515,-3304.588571556209,4.442651256490317,0,0.09661256958573347,3.012083131349981,0.28281834292008967,0,0,0.08717388128341806,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.046014,0.046014,0.046014,0.046014,0.0,0,64.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0.0,11.34857830280251,11.027564259615694,1.5037603352740296,-27663.35414578515,-3304.588571556209,6.274762021241939,0,0.3589844587681103,4.677035225603117,0.2839439883106903,0,0,0.40564802257879967,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,3.7612001156935624,0,-0.3307940477243938,3.012083131349981,0.2816245475643895,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,3.7612001156935624,0,-0.3307940477243938,3.012083131349981,0.2816245475643895,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,58.0,0,6.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,4.59511985013459,0,-0.3307940477243938,3.983915847726401,0.28298614270897765,0,0,-0.5020041508558126,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,3.7612001156935624,0,-0.3307940477243938,3.012083131349981,0.2816245475643895,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2.579041,2.579041,2.579041,2.579041,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,4.877339995504106,4.877339995504106,-1.1389665156556967,-27663.35414578515,-3304.588571556209,4.442651256490317,0,0.09661256958573347,3.012083131349981,0.28281834292008967,0,0,0.08717388128341806,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,249.0,0,7.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,4.31748811353631,0,-0.3307940477243938,3.658080787840028,0.2826597982337767,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,3.7612001156935624,0,-0.3307940477243938,3.012083131349981,0.2816245475643895,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,63.0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,3.7612001156935624,0,-0.3307940477243938,3.012083131349981,0.2816245475643895,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0,249.0,0,7.0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,-18.0112732359566,-27663.35414578515,-3304.588571556209,4.31748811353631,0,-0.3307940477243938,3.658080787840028,0.2826597982337767,0,0,-0.5020041508558126,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
