Dur,Mean,Min,Max,sTos_code,dTos_code,sTtl,dTtl,sHops,dHops,dMeanPktSz,SrcTCPBase,DstTCPBase,AckDat,Label,dTos_was_missing,dTtl_was_missing,dHops_was_missing,DstTCPBase_was_missing,SrcTCPBase_was_missing,SrcLoss_ratio,Load_log,SrcLoad_log,Rate_log,SynAck_log,TcpRtt_log,SrcBytes_log,Loss_log,SrcPkts_log,sMeanPktSz_log,TotBytes_log,pLoss_log,Offset_log,TotPkts_log,SrcWin_log,DstWin_log,Proto_lldp,Proto_sctp,Proto_tcp,Proto_udp,State_CON,State_ECO,State_FIN,State_INT,State_REQ,State_RST,State_URP,Cause_Start,Cause_Status,dDSb_af12,dDSb_cs0,dDSb_ef,dDSb_unknown,sDSb_is_cs0,slice_2:mMTC,slice_3:URLLC
4.720971,4.720971,4.720971,4.720971,0,0.0,64,64.0,0,0.0,0,1416618363,2623059431.0,0.041103,0,0,0,0,0,0,0.46153846153846156,0.28333382815363667,8.248150513889684,0.48463720624406054,-2.3428047800671084,-1.8073880537386433,7.763446388727362,0.5078212103180865,3.2188758248682006,0.14746481964287636,8.280204233279974,3.258096538021482,11.611946931241546,3.6109179126442243,11.150993871885674,11.136179000443898,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.138056,0.138056,0.138056,0.138056,0,0.0,52,59.0,12,5.0,0,3293412428,0.0,0.0,0,1,1,1,1,0,0.6666666666666666,0.2833107170558939,8.363835751491003,0.48094558542165017,-8.324588509985539,-5.0649672860915915,5.003946305945459,0.08779141920421173,1.0986122886681096,0.14746231610743785,5.003946305945459,3.9318256327243257,16.609938618759735,1.0986122886681096,16.635517134138762,11.082527090316852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
4.97409,4.97409,4.97409,4.97409,0,0.0,64,64.0,0,0.0,0,2043686795,1618367425.0,0.0,0,0,0,0,0,0,0.5,0.2833443923070217,8.449257552362074,0.5073571634352082,-8.324588509985539,-5.0649672860915915,8.008032846969307,0.5260368323590524,3.4339872044851463,0.14746496674182363,8.526945482858915,3.274262432207862,12.2813888160896,3.8066624897703196,5.209486152841421,5.043425116919247,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.157742,1.157742,1.157742,1.157742,0,0.0,63,47.0,1,17.0,0,3836019920,529769650.0,0.05659307999999994,0,0,0,0,0,0,0.5,0.2833362063224489,8.266506614309812,0.5200016309362502,-1.8870246228256116,-1.4386161090970706,6.487684018484611,-0.48674538949339446,2.0794415416798357,0.14746449677996812,7.04141166379481,2.1624384966490333,14.636940569012284,2.5649493574615367,11.068651958695275,11.070645946239251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.17277,0.17277,0.17277,0.17277,0,0.0,64,53.0,0,11.0,0,2977476616,3273577305.0,0.020864,0,0,0,0,0,0,0.0,0.28343345702776707,10.905978056187486,0.670929925254371,-3.3221598446039584,-2.422988213557455,7.176254532017144,-0.48674538949339446,2.3978952727983707,0.1474664163646855,9.093581811365986,1.8346845307518114,12.390296558363573,2.9444389791664403,11.268775311873341,11.109712818165356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.326471,4.326471,4.326471,4.326471,0,0.0,64,53.0,0,11.0,0,1095076572,3442218893.0,0.0,0,0,0,0,0,0,0.5,0.2833950259919983,9.89114895110381,0.5388392137106598,-8.324588509985539,-5.0649672860915915,9.325274910068282,-0.48674538949339446,3.091042453358316,0.1474690090439701,9.81290617430489,1.0986122886681096,13.38375640113943,3.912023005428146,8.31752199628717,8.62155320674048,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.387933,1.387933,1.387933,1.387933,0,0.0,64,63.0,0,1.0,0,2954416314,1179797830.0,0.014615,0,0,0,0,0,0,0.0,0.2834046834566355,9.00025342292121,0.5747458953757634,-5.145975796673585,-2.915926842240935,7.335633981927201,0.08779141920421173,2.5649493574615367,0.14746631496805002,9.148039345778804,2.1972245773362196,12.149084217241862,3.1780538303479458,11.307241110989326,10.381490352934616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.132007,0.132007,0.132007,0.132007,0,0.0,53,59.0,11,5.0,0,3968758261,0.0,0.0,0,1,1,1,1,0,0.6666666666666666,0.2833136653774629,8.408629852636299,0.48800072877279166,-8.324588509985539,-5.0649672860915915,5.003946305945459,0.08779141920421173,1.0986122886681096,0.14746231610743785,5.003946305945459,3.9318256327243257,14.882471519921122,1.0986122886681096,16.635517134138762,11.082527090316852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
4.794985,4.794985,4.794985,4.794985,0,0.0,64,64.0,0,0.0,0,1416617515,2623058727.0,0.041103,0,0,0,0,0,0,0.5217391304347826,0.28336741045833874,8.92294771070761,0.57356525841781,-2.3428047800671084,-1.8073880537386433,8.434028950155469,0.5441674637791896,3.72177918863835,0.1474652459610099,9.002208578282412,3.1548269971445695,11.609189734940292,4.343805421853684,11.150993871885674,11.136179000443898,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4.393983,4.393983,4.393983,4.393983,0,0.0,64,64.0,0,0.0,0,1511580086,2646845546.0,0.0,0,0,0,0,0,0,0.4666666666666667,0.28338317096079974,9.316322540267965,0.5712756988480757,-8.324588509985539,-5.0649672860915915,8.74528448245438,0.5207452901927345,3.6109179126442243,0.14746743200951667,9.384041546476526,2.894428573436583,12.30982436777358,4.23410650459726,4.976733742420574,5.043425116919247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
